tag_completo,prefixo,tipo_instrumento,descricao,sistemas_manual,fases_vault,qtd_mencoes_manual,trecho_exemplo,fonte_trecho,origem
37220-V-5121,V,Válvulas Manuais / Bloqueio,Válvula de desligamento manual no ar de instrumento,,,0,,,Somente lista oficial (sem contexto)
37220-V-5146,V,Válvulas Manuais / Bloqueio,Válvula de desligamento manual nas linhas de ar pressurizado,,,0,,,Somente lista oficial (sem contexto)
37221-FV-5015,FV,Válvulas de Controle de Vazão,Válvula de controle de água de alimentação da caldeira,,11_Analise_Riscos; Operação Normal; Partida; README.md,0,"* Encher e ventilar a tubulação com cuidado até a válvula de controle de água de alimentação **37221-FV-5015**, usando a altura estática do tanque.",03_Partida/Caldeira_Partida_Agua_Alimentacao.md,Vault
37221-HV-5021,HV,Válvulas Manuais Acionadas (ar/motor),Desvio da válvula de controle de água de alimentação,,Partida,0,* Válvula de controle **37221-FV-5015** e seu desvio **37221-HV-5021**: fechados.,03_Partida/Caldeira_Partida_Agua_Alimentacao.md,Vault
35221-SIC-1040,SIC,Controladores Indicadores de Velocidade,Controlador de velocidade da bomba de água de alimentação (bomba FW 1),,Partida,0,* Verificar se o controlador de velocidade da bomba **35221-SIC-1040** (bomba FW1) / **35221-SIC-1047** (bomba FW2) está em modo **REMOTO**.,03_Partida/Caldeira_Partida_Agua_Alimentacao.md,Vault
35221-SIC-1047,SIC,Controladores Indicadores de Velocidade,Controlador de velocidade da bomba de água de alimentação (bomba FW 2),,Partida,0,* Verificar se o controlador de velocidade da bomba **35221-SIC-1040** (bomba FW1) / **35221-SIC-1047** (bomba FW2) está em modo **REMOTO**.,03_Partida/Caldeira_Partida_Agua_Alimentacao.md,Vault
35221-P-1119,P,Bombas,Bomba de água de alimentação 1,5.2 - Sistema de Água e Vapor,,1,BOMBAS DE ÁGUA DE ALIMENTAÇÃO 35221-P-1119,5.2 - Sistema de Água e Vapor.txt,Manual completo
35221-P-1121,P,Bombas,Bomba de água de alimentação 2,5.2 - Sistema de Água e Vapor,,1,E 35221-P-1121,5.2 - Sistema de Água e Vapor.txt,Manual completo
37223-M-5208,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático do boiler bank da caldeira,5.10 - Sistema de Manuseio de Cinza Volante,,4,BANK 37223-M-5208                                                                                M-5210,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5203,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático abaixo das tremonhas de cinza de 2ª passagem,5.10 - Sistema de Manuseio de Cinza Volante,,4,ROSCA DE CINZA DO BOILER BANK 37223-M-5203                                                    ROSCA DE CINZA DO ECO 37223-M-5209,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5210,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático do economizador,5.10 - Sistema de Manuseio de Cinza Volante,,3,pneumático de cinza de 3ª passagem 37223-M-5210.,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5209,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático abaixo das tremonhas de cinza do economizador,5.10 - Sistema de Manuseio de Cinza Volante,,4,ROSCA DE CINZA DO BOILER BANK 37223-M-5203                                                    ROSCA DE CINZA DO ECO 37223-M-5209,5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5212,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático de filtro ESP 1,5.10 - Sistema de Manuseio de Cinza Volante,,3,"5211 e 37223-M-5213, transportadores pneumáticos de cinza ESP 37223-M-5212 e 37223-M-5214.",5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37223-M-5214,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático de filtro ESP 2,5.10 - Sistema de Manuseio de Cinza Volante,,4,"5212, 37223-M-5214",5.10 - Sistema de Manuseio de Cinza Volante.txt,Manual completo
37224-M-5333,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Ventilador de gás de combustão,5.6 - Sistema de Gases de Combustão,,2,VENTILADOR DE GÁS DE COMBUSTÃO 37224-M-5333,5.6 - Sistema de Gases de Combustão.txt,Manual completo
37224-PIC-5400,PIC,Controladores Indicadores de Pressão,Controle de pressão da fornalha da caldeira,5.5 - Sistema de Ar; 5.6 - Sistema de Gases de Combustão,Operação Normal; Partida,3,• A medição da pressão da fornalha 37224-PIC-5400 é a mediana de três medidas de pressão da,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-XS-5384,XS,Chaves/Status Discretos (sequências),Sequência de purga da fornalha,5.5 - Sistema de Ar,Partida,4,Sequência de purga da caldeira 37224-XS-5384,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-M-5324,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Ventilador de ar overfire,5.5 - Sistema de Ar,,2,VENTILADOR DE AR PARA QUEIMA (OVERFIRE) 37224-M-5324,5.5 - Sistema de Ar.txt,Manual completo
37224-PIC-5369,PIC,Controladores Indicadores de Pressão,Controle / Damper de pressão do fluxo de ar overfire / ar secundário,5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de pressão do ar de queima 37224-PIC-5369,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5372,FIC,,"Controle de fluxo de ar overfire / secundário inferior, parede dianteira",5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de fluxo da parede frontal do ar secundário inferior 37224-FIC-5372,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5375,FIC,,"Controle de fluxo de ar overfire / secundário inferior, parede traseira",5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de fluxo da parede traseira do ar secundário inferior 37224-FIC-5375,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5378,FIC,,"Controle de fluxo de ar overfire / secundário superior, parede traseira",5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de fluxo da parede traseira do ar secundário superior 37224-FIC-5378,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5379,FIC,,"Controle de fluxo de ar overfire / secundário superior, parede dianteira",5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de fluxo da parede frontal do ar secundário superior 37224-FIC-5379,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5373,FIC,,Damper de fluxo de ar overfire para queimador de partida 2,5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador do fluxo de ar do queimador de partida 2 37224-FIC-5373,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5374,FIC,,Damper de fluxo de ar overfire para queimador de partida 4,5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador do fluxo de ar do queimador de partida 4 37224-FIC-5374,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5376,FIC,,Damper de fluxo de ar overfire para queimador de partida 1,5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador do fluxo de ar do queimador de partida 1 37224-FIC-5376,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5377,FIC,,Damper de fluxo de ar overfire para queimador de partida 3,5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador do fluxo de ar do queimador de partida 3 37224-FIC-5377,5.5 - Sistema de Ar.txt,Manual completo + Vault
37221-TIC-5333,TIC,Controladores Indicadores de Temperatura,Temperatura do leito fluidizado (Cálculo / Média),,Operação Normal; Partida,0,* **Cálculo da temperatura do leito (37224-TIC-5333):** média das nove medições mais altas no leito (9 de 12).,03_Partida/Caldeira_Partida_Alimentacao_Combustivel_Solido.md,Vault
37224-XS-6002,XS,Chaves/Status Discretos (sequências),Fluxo do gás de fluidização,,Intertravamentos (SRS); Partida,0,"Neste caso, o ventilador de ar overfire é iniciado e os controles de pressão/fluxo são definidos pelo operador. A combustão do leito fluidizado pode iniciar diretamente se: temperatura do leito > 600 °C, o fluxo do gás de fluidização (**37224-XS-6002**) excede o valor de intertravamento inferior, e demais critérios de proteção da caldeira são atendidos.",03_Partida/Caldeira_Partida_Purga_Fornalha_Ar_Overfire.md,Vault
37225-V-6366,V,Válvulas Manuais / Bloqueio,Válvula manual na linha de vapor SLP,,,0,,,Somente lista oficial (sem contexto)
37225-V-6364,V,Válvulas Manuais / Bloqueio,Válvula manual na linha de vapor SLP,,,0,,,Somente lista oficial (sem contexto)
37225-V-6408,V,Válvulas Manuais / Bloqueio,Válvula manual na linha de condensado,,,0,,,Somente lista oficial (sem contexto)
37225-V-6409,V,Válvulas Manuais / Bloqueio,Válvula manual na linha de condensado,,,0,,,Somente lista oficial (sem contexto)
37225-V-6407,V,Válvulas Manuais / Bloqueio,Válvula de desvio / válvula manual na linha de condensado,,,0,,,Somente lista oficial (sem contexto)
37224-TV-5362,TV,Válvulas de Controle de Temperatura,Válvula de controle de vapor LP / ar overfire,5.5 - Sistema de Ar,Operação Normal; Partida,1,37224-TV-5362. O controlador tem o feedback das medidas da temperatura do ar de queima 37224-,5.5 - Sistema de Ar.txt,Manual completo + Vault
37225-TIC-5362,TIC,Controladores Indicadores de Temperatura,Controle de temperatura do ar overfire,,Operação Normal; Partida,0,"* Quando as linhas estiverem aquecidas, o controle de temperatura do ar overfire **37225-TIC-5362** é definido para modo **REMOTO**.",03_Partida/Caldeira_Partida_Purga_Fornalha_Ar_Overfire.md,Vault
37224-M-5313,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Ventilador de ar primário,5.5 - Sistema de Ar,,2,VENTILADOR DE AR PRIMÁRIO 37224-M-5313,5.5 - Sistema de Ar.txt,Manual completo
37224-M-5320,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Ventilador de recirculação de gás,5.5 - Sistema de Ar,,4,37224-M-5320,5.5 - Sistema de Ar.txt,Manual completo
37224-HV-5328,HV,Válvulas Manuais Acionadas (ar/motor),Damper de fluxo mínimo de gás de recirculação,5.5 - Sistema de Ar,Partida,1,• O fluxo mínimo para o duto de desvio é controlado pelo damper 37224-HV-5328.,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5329,FIC,,Controlador de fluxo de gás de recirculação,5.5 - Sistema de Ar,Operação Normal; Partida,4,O set point REMOTO do controlador de fluxo da recirculação de gás 37224-FIC-5329.,5.5 - Sistema de Ar.txt,Manual completo + Vault
37225-V-6405,V,Válvulas Manuais / Bloqueio,Válvula manual na linha de condensado,,,0,,,Somente lista oficial (sem contexto)
37225-V-6406,V,Válvulas Manuais / Bloqueio,Válvula manual na linha de condensado,,,0,,,Somente lista oficial (sem contexto)
37225-V-6404,V,Válvulas Manuais / Bloqueio,Válvula manual na linha de condensado,,,0,,,Somente lista oficial (sem contexto)
37224-TV-5320,TV,Válvulas de Controle de Temperatura,Válvula de controle de vapor SLP / ar primário,,Operação Normal; Partida,0,"* Iniciar o pré-aquecedor abrindo a válvula de controle de vapor SLP **37224-TV-5320** em cerca de **15%**. Partida lenta, acompanhando o aquecimento do pré-aquecedor e da tubulação de condensado.",03_Partida/Caldeira_Partida_Ar_Primario.md,Vault
37224-TIC-5320,TIC,Controladores Indicadores de Temperatura,Controle de temperatura de ar primário,5.5 - Sistema de Ar; 5.6 - Sistema de Gases de Combustão,Operação Normal; Partida,3,Controlador de temperatura do ar primário 37224-TIC-5320,5.5 - Sistema de Ar.txt,Manual completo + Vault
37222-XS-5939,XS,Chaves/Status Discretos (sequências),Sequência Queimador de Partida 1,,Partida,0,| Queimador de Partida 1 | 37222-XS-5939 | — | 37222-FIC-5892 | 37224-FIC-5376 |,03_Partida/Caldeira_Partida_Combustivel_Auxiliar_Queimadores.md,Vault
37222-XS-5984,XS,Chaves/Status Discretos (sequências),Sequência Queimador de Partida 2,,Partida,0,| Queimador de Partida 2 | 37222-XS-5984 | 37222-FIC-5886 / 37222-PIC-5884 | NA | 37224-FIC-5373 |,03_Partida/Caldeira_Partida_Combustivel_Auxiliar_Queimadores.md,Vault
37222-XS-6029,XS,Chaves/Status Discretos (sequências),Sequência Queimador de Partida 3,,Partida,0,| Queimador de Partida 3 | 37222-XS-6029 | — | 37222-FIC-5892 | 37224-FIC-5377 |,03_Partida/Caldeira_Partida_Combustivel_Auxiliar_Queimadores.md,Vault
37222-XS-6074,XS,Chaves/Status Discretos (sequências),Sequência Queimador de Partida 4,,Partida,0,| Queimador de Partida 4 | 37222-XS-6074 | — | NA | 37224-FIC-5374 |,03_Partida/Caldeira_Partida_Combustivel_Auxiliar_Queimadores.md,Vault
37222-FIC-5892,FIC,,Controle de fluxo HFO / Diesel para queimadores de partida,5.16 - Sistema de Óleo; 5.5 - Sistema de Ar,Operação Normal; Partida,3,• O fluxo de óleo é controlado pelo medidor do fluxo de óleo 37222-FIC-5892 com a válvula de controle do,5.16 - Sistema de Óleo.txt,Manual completo + Vault
37222-FIC-5886,FIC,,Controle de fluxo de óleo combustível pesado,5.5 - Sistema de Ar,Operação Normal; Partida,4,37222-FIC-5886 dependendo de qual é a maior. O operador pode ajustar a proporção,5.5 - Sistema de Ar.txt,Manual completo + Vault
37222-PIC-5884,PIC,Controladores Indicadores de Pressão,Controle de pressão BPF / HFO,5.16 - Sistema de Óleo,Operação Normal; Partida,1,• A pressão do óleo é controlada pelo medidor da pressão do óleo 37222-PIC-5884 com a válvula de,5.16 - Sistema de Óleo.txt,Manual completo + Vault
37220-XS-6227,XS,Chaves/Status Discretos (sequências),"Proteção principal, desarme dos queimadores",,Intertravamentos (SRS); Partida,0,"O SRS verifica as precondições antes que qualquer queimador de inicialização possa partir; se alguma não estiver em boas condições, **um desarme é acionado**. A precondição é que **""37220-XS-6227 Proteção principal, desarme dos queimadores""** esteja em boas condições.",03_Partida/Caldeira_Partida_Combustivel_Auxiliar_Queimadores.md,Vault
35228-HV-1491,HV,Válvulas Manuais Acionadas (ar/motor),Válvula do nível do tubulão (purga) / válvula motorizada de purga,5.2 - Sistema de Água e Vapor,11_Analise_Riscos; Operação Normal; Partida,1,Válvula de drenagem da caldeira 35228-HV-1491,5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
35221-M-1101,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Tanque de purga,5.4 - Sistema de Vapor LP de Condesando de Ventilação de Purga,,2,BLOW DOWN TANK 35221-M-1101,5.4 - Sistema de Vapor LP de Condesando de Ventilação de Purga.txt,Manual completo
37221-TIC-5092,TIC,Controladores Indicadores de Temperatura,"Controlador de temperatura do vapor antes de SH 2, esquerda",5.2 - Sistema de Água e Vapor,Operação Normal; Partida,2,37221-TIC-5092 (esquerdo) e 37221-TIC-5093 (direito),5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-TIC-5093,TIC,Controladores Indicadores de Temperatura,"Controlador de temperatura do vapor antes de SH 2, direita",5.2 - Sistema de Água e Vapor,Operação Normal,2,37221-TIC-5092 (esquerdo) e 37221-TIC-5093 (direito),5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-TIC-5094,TIC,Controladores Indicadores de Temperatura,"Controlador de temperatura do vapor após SH 2, esquerda",5.2 - Sistema de Água e Vapor,Operação Normal,2,37221-TIC-5094 (esquerdo) e 37221-TIC-5095 (direito),5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-TIC-5095,TIC,Controladores Indicadores de Temperatura,"Controlador de temperatura do vapor após SH 2, direita",5.2 - Sistema de Água e Vapor,Operação Normal,2,37221-TIC-5094 (esquerdo) e 37221-TIC-5095 (direito),5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-TIC-5096,TIC,Controladores Indicadores de Temperatura,"Controlador de temperatura do vapor antes de SH 3, esquerda",5.2 - Sistema de Água e Vapor,Operação Normal,1,Temperatura do vapor antes do controle do superaquecedor III 37221-TIC-5096 (esquerdo),5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-TIC-5097,TIC,Controladores Indicadores de Temperatura,"Controlador de temperatura do vapor antes de SH 3, direita",5.2 - Sistema de Água e Vapor,Operação Normal,2,5096 (esquerdo) e 37221-TIC-5097 (direito),5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-TIC-5098,TIC,Controladores Indicadores de Temperatura,"Controlador de temperatura do vapor antes de SH 2, esquerda (Mestre)",5.2 - Sistema de Água e Vapor,Operação Normal,1,Temperatura do vapor depois do controle do superaquecedor III 37221-TIC-5098,5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-TIC-5099,TIC,Controladores Indicadores de Temperatura,"Controlador de temperatura do vapor antes de SH 2, direita (Mestre)",5.2 - Sistema de Água e Vapor,Operação Normal,2,5098 (esquerdo) e 37221-TIC-5099 (direito),5.2 - Sistema de Água e Vapor.txt,Manual completo + Vault
37221-PV-5146,PV,Válvulas de Controle de Pressão,Válvula de controle de partida / válvula de partida,,11_Analise_Riscos; Partida,0,* Abrir a tubulação de partida: válvula de desligamento do motor **37221-HV-5145** e válvula de controle de partida **37221-PV-5146** (cerca de **10%**).,03_Partida/Caldeira_Partida_Agua_Vapor_Caldeira.md,Vault
35221-TIC-1494,TIC,Controladores Indicadores de Temperatura,Controlador de temperatura de drenagem do tanque de purga,,Operação Normal; Partida,0,* Verificar se o controlador de temperatura de drenagem do tanque de purga **35221-TIC-1494** está em operação.,03_Partida/Caldeira_Partida_Drenagem_Purga_Amostragem.md,Vault
37221-V-5560,V,Válvulas Manuais / Bloqueio,Válvula do sistema de amostragem de água de resfriamento,,,0,,,Somente lista oficial (sem contexto)
35220-V-1009,V,Válvulas Manuais / Bloqueio,Válvula do sistema de amostragem de água de resfriamento,,,0,,,Somente lista oficial (sem contexto)
37220-XS-6228,XS,Chaves/Status Discretos (sequências),"Proteção principal, desarme para combustível sólido",,Intertravamentos (SRS); Partida,0,"A pré-condição para a partida de combustível sólido no SRS é que **""37220-XS-6228 Proteção principal, desarme para combustível sólido""** esteja em boas condições. Com essa permissão, a sequência de inicialização de alimentação de combustível **37228-XS-5551** (linha 1) e **37228-XS-5555** (linha 2) pode operar.",03_Partida/Caldeira_Partida_Alimentacao_Combustivel_Solido.md,Vault
37228-XS-5551,XS,Chaves/Status Discretos (sequências),Sequência de inicialização de alimentação de combustível (linha 1),,Partida,0,"A pré-condição para a partida de combustível sólido no SRS é que **""37220-XS-6228 Proteção principal, desarme para combustível sólido""** esteja em boas condições. Com essa permissão, a sequência de inicialização de alimentação de combustível **37228-XS-5551** (linha 1) e **37228-XS-5555** (linha 2) pode operar.",03_Partida/Caldeira_Partida_Alimentacao_Combustivel_Solido.md,Vault
37228-XS-5555,XS,Chaves/Status Discretos (sequências),Sequência de inicialização de alimentação de combustível (linha 2),,Partida,0,"A pré-condição para a partida de combustível sólido no SRS é que **""37220-XS-6228 Proteção principal, desarme para combustível sólido""** esteja em boas condições. Com essa permissão, a sequência de inicialização de alimentação de combustível **37228-XS-5551** (linha 1) e **37228-XS-5555** (linha 2) pode operar.",03_Partida/Caldeira_Partida_Alimentacao_Combustivel_Solido.md,Vault
37224-TI-5336,TI,Indicadores de Temperatura,Medição de temperatura do leito Parede dianteira esquerda,5.5 - Sistema de Ar,Partida,1,"médio de nove das maiores medidas de doze medidas da temperatura do leito. 37224-TI-5336,",5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-TI-5337,TI,Indicadores de Temperatura,Medição de temperatura do leito Parede dianteira esquerda média,5.5 - Sistema de Ar,,1,"37224-TI-5337, 37224-TI-5338, 37224-TI-5339, 37224-TI-5340, 37224-TI-5341, 37224-TI-5342,",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5338,TI,Indicadores de Temperatura,Medição de temperatura do leito Parede dianteira direita média,5.5 - Sistema de Ar,,1,"37224-TI-5337, 37224-TI-5338, 37224-TI-5339, 37224-TI-5340, 37224-TI-5341, 37224-TI-5342,",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5339,TI,Indicadores de Temperatura,Medição de temperatura do leito Parede dianteira direita,5.5 - Sistema de Ar,,1,"37224-TI-5337, 37224-TI-5338, 37224-TI-5339, 37224-TI-5340, 37224-TI-5341, 37224-TI-5342,",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5340,TI,Indicadores de Temperatura,Medição de temperatura do leito Média esquerda,5.5 - Sistema de Ar,,1,"37224-TI-5337, 37224-TI-5338, 37224-TI-5339, 37224-TI-5340, 37224-TI-5341, 37224-TI-5342,",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5341,TI,Indicadores de Temperatura,Medição de temperatura do leito Média esquerda média,5.5 - Sistema de Ar,,1,"37224-TI-5337, 37224-TI-5338, 37224-TI-5339, 37224-TI-5340, 37224-TI-5341, 37224-TI-5342,",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5342,TI,Indicadores de Temperatura,Medição de temperatura do leito Média direita média,5.5 - Sistema de Ar,,1,"37224-TI-5337, 37224-TI-5338, 37224-TI-5339, 37224-TI-5340, 37224-TI-5341, 37224-TI-5342,",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5343,TI,Indicadores de Temperatura,Medição de temperatura do leito Média direita,5.5 - Sistema de Ar,,1,"37224-TI-5343, 37224-TI-5344, 37224-TI-5345, 37224-TI-5346, 37224-TI-5347.",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5344,TI,Indicadores de Temperatura,Medição de temperatura do leito Parede traseira esquerda,5.5 - Sistema de Ar,,1,"37224-TI-5343, 37224-TI-5344, 37224-TI-5345, 37224-TI-5346, 37224-TI-5347.",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5345,TI,Indicadores de Temperatura,Medição de temperatura do leito Parede traseira esquerda média,5.5 - Sistema de Ar,,1,"37224-TI-5343, 37224-TI-5344, 37224-TI-5345, 37224-TI-5346, 37224-TI-5347.",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5346,TI,Indicadores de Temperatura,Medição de temperatura do leito Parede traseira direita média,5.5 - Sistema de Ar,,1,"37224-TI-5343, 37224-TI-5344, 37224-TI-5345, 37224-TI-5346, 37224-TI-5347.",5.5 - Sistema de Ar.txt,Manual completo
37224-TI-5347,TI,Indicadores de Temperatura,Medição de temperatura do leito Parede traseira direita,5.5 - Sistema de Ar,Partida,1,"37224-TI-5343, 37224-TI-5344, 37224-TI-5345, 37224-TI-5346, 37224-TI-5347.",5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-XI-5334,XI,Indicadores Discretos/Calculados,Gradiente de temperatura do leito,,Partida,0,"* Ao iniciar a alimentação de combustível sólido, a temperatura do leito **cai cerca de 10-30 °C**. O operador monitora e **desliga a alimentação** se o combustível se acumular sob as calhas ou se a temperatura cair significativamente; após desligar, a temperatura deve subir novamente. O gradiente de temperatura do leito (**37224-XI-5334**) também é monitorado.",03_Partida/Caldeira_Partida_Alimentacao_Combustivel_Solido.md,Vault
37224-AI-5404,AI,Indicadores Analíticos,Medição de teor de oxigênio do gás de combustão 1,5.6 - Sistema de Gases de Combustão,11_Analise_Riscos; Intertravamentos (SRS); Operação Normal; Partida,1,"5406, que é uma das medições 37224-AI-5404, 37224-AI-5405 ou valor médio",5.6 - Sistema de Gases de Combustão.txt,Manual completo + Vault
37224-AI-5405,AI,Indicadores Analíticos,Medição de teor de oxigênio do gás de combustão 2,5.6 - Sistema de Gases de Combustão,Intertravamentos (SRS); Operação Normal; Partida,1,"5406, que é uma das medições 37224-AI-5404, 37224-AI-5405 ou valor médio",5.6 - Sistema de Gases de Combustão.txt,Manual completo + Vault
37228-XC-5579,XC,Comandos Discretos Calculados,Fluxo de combustível sólido (cálculo),5.7 - Sistema de Alimentação de Combustível,Operação Normal; Partida,1,adicionado ao efeito da biomassa calculado anteriormente 37228-XC-5579.,5.7 - Sistema de Alimentação de Combustível.txt,Manual completo + Vault
37224-FIC-5380,FIC,,"Controle de fluxo de ar terciário, parede traseira",5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de fluxo da parede traseira do ar terciário 37224-FIC-5380,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-FIC-5381,FIC,,"Controle de fluxo de ar terciário, parede dianteira",5.5 - Sistema de Ar,Operação Normal; Partida,4,Controlador de fluxo da parede frontal do ar terciário 37224-FIC-5381,5.5 - Sistema de Ar.txt,Manual completo + Vault
37224-AIC-5406,AIC,Controladores Indicadores Analíticos,Controlador de conteúdo de oxigênio do gás de combustão,5.6 - Sistema de Gases de Combustão; 5.7 - Sistema de Alimentação de Combustível,,4,Controlador de O 2 do gás de combustão 37224-AIC-5406,5.6 - Sistema de Gases de Combustão.txt,Manual completo
37223-KJ-5670,KJ,Sequências/Ciclos Lógicos,Sequência de remoção de cinza do fundo,,,0,,,Somente lista oficial (sem contexto)
37225-KJ-5198,KJ,Sequências/Ciclos Lógicos,Sequência de sopragem de fuligem,,,0,,,Somente lista oficial (sem contexto)
37221-V-5565,V,Válvulas Manuais / Bloqueio,Válvula da linha de drenagem de vapor vivo,,,0,,,Somente lista oficial (sem contexto)
37221-V-5567,V,Válvulas Manuais / Bloqueio,Válvula da linha de drenagem de vapor vivo,,,0,,,Somente lista oficial (sem contexto)
37221-V-5569,V,Válvulas Manuais / Bloqueio,Válvula da linha de drenagem de vapor vivo,,,0,,,Somente lista oficial (sem contexto)
37221-V-5571,V,Válvulas Manuais / Bloqueio,Válvula da linha de drenagem de vapor vivo,,,0,,,Somente lista oficial (sem contexto)
37221-V-5573,V,Válvulas Manuais / Bloqueio,Válvula da linha de drenagem de vapor vivo,,,0,,,Somente lista oficial (sem contexto)
37221-V-5575,V,Válvulas Manuais / Bloqueio,Válvula da linha de drenagem de vapor vivo,,,0,,,Somente lista oficial (sem contexto)
37221-V-5483,V,Válvulas Manuais / Bloqueio,Válvula da linha de drenagem de vapor vivo,,,0,,,Somente lista oficial (sem contexto)
37221-V-5484,V,Válvulas Manuais / Bloqueio,Válvula da linha de drenagem de vapor vivo,,,0,,,Somente lista oficial (sem contexto)
37221-HV-5157,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de drenagem automática,,Partida,0,"1. Antes de aquecer a tubulação de vapor vivo, garantir que as válvulas de drenagem estejam **abertas**: **37221-V-5565, 37221-V-5567, 37221-V-5569, 37221-V-5571, 37221-V-5573, 37221-V-5575, 37221-V-5483, 37221-V-5484**. As válvulas de drenagem automática **37221-HV-5157, 37221-HV-5158, 37221-HV-5159, 37221-HV-5152** também devem estar abertas.",03_Partida/Caldeira_Partida_Producao_Vapor_Turbina.md,Vault
37221-HV-5158,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de drenagem automática,,Partida,0,"1. Antes de aquecer a tubulação de vapor vivo, garantir que as válvulas de drenagem estejam **abertas**: **37221-V-5565, 37221-V-5567, 37221-V-5569, 37221-V-5571, 37221-V-5573, 37221-V-5575, 37221-V-5483, 37221-V-5484**. As válvulas de drenagem automática **37221-HV-5157, 37221-HV-5158, 37221-HV-5159, 37221-HV-5152** também devem estar abertas.",03_Partida/Caldeira_Partida_Producao_Vapor_Turbina.md,Vault
37221-HV-5159,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de drenagem automática,,Partida,0,"1. Antes de aquecer a tubulação de vapor vivo, garantir que as válvulas de drenagem estejam **abertas**: **37221-V-5565, 37221-V-5567, 37221-V-5569, 37221-V-5571, 37221-V-5573, 37221-V-5575, 37221-V-5483, 37221-V-5484**. As válvulas de drenagem automática **37221-HV-5157, 37221-HV-5158, 37221-HV-5159, 37221-HV-5152** também devem estar abertas.",03_Partida/Caldeira_Partida_Producao_Vapor_Turbina.md,Vault
