tag_completo,prefixo,tipo_instrumento,descricao,sistemas_manual,fases_vault,qtd_mencoes_manual,trecho_exemplo,fonte_trecho,origem
37223-M-5193,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca transportadora de cinzas residuais resfriada por água (Rosca 3),5.9 - Sistema de Manuseio de Cinza de Fundo,,4,"37223-M-5192, 37223-M-5193",5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-HV-5640,HV,Válvulas Manuais Acionadas (ar/motor),Guilhotina pneumática para cinzas residuais,5.9 - Sistema de Manuseio de Cinza de Fundo,,4,GUILHOTINA PNEUMÁTICA 37223-HV-5640,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5196,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Peneira rotativa,5.9 - Sistema de Manuseio de Cinza de Fundo,,4,PENEIRA ROTATIVA 37223-M-5196,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5197,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Transportador pneumático de cinzas residuais,5.9 - Sistema de Manuseio de Cinza de Fundo,,2,"TRANSPORTADOR PNEUMÁTICO, CINZAS RESIDUAIS 37223-M-5197",5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5195,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Rosca de distribuição de cinzas,5.9 - Sistema de Manuseio de Cinza de Fundo,,2,ROSCA DE DISTRIBUIÇÃO DE CINZAS 37223-M-5195,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5198,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Caçamba de cinzas residuais 1,5.9 - Sistema de Manuseio de Cinza de Fundo,,2,"CAÇAMBAS DE CINZAS RESIDUAIS 37223-M-5198, 37223-M-5199",5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5199,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Caçamba de cinzas residuais 2,5.9 - Sistema de Manuseio de Cinza de Fundo,,2,"CAÇAMBAS DE CINZAS RESIDUAIS 37223-M-5198, 37223-M-5199",5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5191-M01,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Motor 1 da rosca transportadora de cinzas residuais,,,0,,,Somente lista oficial (sem contexto)
37223-SS-5619,SS,Chaves de Velocidade,Chave de velocidade da rosca transportadora 1,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,transportador é monitorado pela chave de velocidade 37223-SS-5619.,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-HV-5622,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de água resfriadora da rosca 1,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,água resfriadora 37223-HV-5622 é configurada no modo REM e aberta.,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5192-M01,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Motor 2 da rosca transportadora de cinzas residuais,,,0,,,Somente lista oficial (sem contexto)
37223-SS-5627,SS,Chaves de Velocidade,Chave de velocidade da rosca transportadora 2,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,chave de velocidade 37223-SS-5627.,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-HV-5630,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de água resfriadora da rosca 2,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,válvula de água resfriadora 37223-HV-5630 é configurada no,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5193-M01,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Motor 3 da rosca transportadora de cinzas residuais,,,0,,,Somente lista oficial (sem contexto)
37223-SS-5635,SS,Chaves de Velocidade,Chave de velocidade da rosca transportadora 3,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,velocidade 37223-SS-5635.,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-HV-5638,HV,Válvulas Manuais Acionadas (ar/motor),Válvula de água resfriadora da rosca 3,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,de água resfriadora 37223-HV-5638 é configurada no modo REM e,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5194-M01,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Motor do transportador de corrente de cinzas,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,A rosca transportadora de cinzas residuais motor 37223-M-5194-M01 é configurado no,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-SS-5639,SS,Chaves de Velocidade,Chave de velocidade do transportador de corrente,,,0,,,Somente lista oficial (sem contexto)
37223-SS-5641,SS,Chaves de Velocidade,Chave de velocidade da peneira rotativa,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,pela chave de velocidade 37223-SS-5641.,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5232,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Dispositivo de conexão da caçamba 1,,,0,,,Somente lista oficial (sem contexto)
37223-M-5233,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Dispositivo de conexão da caçamba 2,,,0,,,Somente lista oficial (sem contexto)
37223-LSL-5645,LSL,Chaves de Nível Baixo,Chave de nível na tremonha de fornecimento pneumático,5.9 - Sistema de Manuseio de Cinza de Fundo,,1,fornecimento 37223-LSL-5645 é ativada ou quando o tempo,5.9 - Sistema de Manuseio de Cinza de Fundo.txt,Manual completo
37223-M-5236,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Painel de controle do transportador pneumático,,,0,,,Somente lista oficial (sem contexto)
37229-M-5776,M,"Equipamentos Mecânicos (motores, tanques, ventiladores, transportadores...)",Caixa de recebimento de areia,5.8 - Sistema de Alimentação de Material do Leito,,1,CAIXA DE RECEBIMENTO DE AREIA 37229-M-5776,5.8 - Sistema de Alimentação de Material do Leito.txt,Manual completo
